Фаза,Приоритет,ID,Блок,Шаг,Действие,Ожидание,Обязательно,Windows,macOS,Статус,Баг #,Комментарий
0 Автотесты,P0,0.1,Сборка,TypeScript,npx tsc --noEmit,exit 0,Да,,,Не начато,,Только на машине разработчика
0 Автотесты,P0,0.2,Сборка,Юнит-тесты,npm run test,82+ passed,Да,,,Не начато,,
0 Автотесты,P0,0.3,Сборка,Build,npm run build,dist/ без ошибок,Да,,,Не начато,,
0 Автотесты,P0,0.4,Сборка,Preflight,npm run qa:preflight,28/28 PASS,Да,,,Не начато,,
0 Автотесты,P0,0.5,Артефакт,Zip,npm run package:zip,priceguard-ai-v2.20.8.zip,Да,,,Не начато,,
1 Smoke,P0,1.1,Установка,Чистый профиль,Chrome → новый профиль «PriceGuard QA»,Профиль создан,Да,,,Не начато,,На Win и Mac отдельно
1 Smoke,P0,1.2,Установка,Загрузка,chrome://extensions → Загрузить распакованное → dist/,Иконка в панели,Да,,,Не начато,,
1 Smoke,P0,1.3,Popup,Открытие,Клик по иконке расширения,"UI <2 сек, без белого экрана",Да,,,Не начато,,
1 Smoke,P0,1.4,Service Worker,Статус,chrome://extensions → Inspect SW,"active, нет красных ошибок",Да,,,Не начато,,
1 Smoke,P0,1.5,Notifications,Разрешение,Разрешить уведомления при запросе,granted или диалог,Да,,,Не начато,,
1 Smoke,P1,1.6,Версия,Проверка,Настройки расширения,Версия совпадает с релизом,Нет,,,Не начато,,
2 Маркетплейсы,P0,2.1,Wildberries,Карточка,Открыть wildberries.ru/catalog/…/detail.aspx,Content script работает,Да,,,Не начато,,
2 Маркетплейсы,P0,2.2,Wildberries,Цена,Popup на карточке WB,"Название, цена, артикул",Да,,,Не начато,,
2 Маркетплейсы,P0,2.3,Wildberries,Track,Кнопка «Отслеживать»,Товар в «Отслеживаемое»,Да,,,Не начато,,
2 Маркетплейсы,P1,2.4,Wildberries,История,Развернуть карточку в списке,График или стартовая точка,Нет,,,Не начато,,
2 Маркетплейсы,P0,2.5,Wildberries,Отзывы AI,Вкладка Отзывы → Анализ,Вердикт при ≥5 отзывах,Да,,,Не начато,,
2 Маркетплейсы,P2,2.6,Wildberries,URL,URL с ?query или /feedbacks,Нормализация в detail.aspx,Нет,,,Не начато,,
2 Маркетплейсы,P0,2.7,Ozon,Карточка,ozon.ru/product/…,Цена в popup,Да,,,Не начато,,
2 Маркетплейсы,P0,2.8,Ozon,Track,Добавить в отслеживаемое,В списке,Да,,,Не начато,,
2 Маркетплейсы,P0,2.9,Ozon,Сравнение,Добавить в сравнение,Оффер в таблице,Да,,,Не начато,,
2 Маркетплейсы,P1,2.10,Ozon,Отзывы,Анализ отзывов,Результат или понятная ошибка,Нет,,,Не начато,,
2 Маркетплейсы,P0,2.11,Яндекс.Маркет,Карточка,market.yandex.ru/product/…,Скрапинг работает,Да,,,Не начато,,
2 Маркетплейсы,P1,2.12,Яндекс.Маркет,Поиск,market.yandex.ru/search,Content script на search,Нет,,,Не начато,,
2 Маркетплейсы,P0,2.13,Яндекс.Маркет,Сравнение,Кросс-поиск с WB,Оффер YM в сравнении,Да,,,Не начато,,
3 Функции,P0,3.1,Отслеживание,Лимит free,Добавить 6-й товар (free),Сообщение о лимите 5,Да,,,Не начато,,
3 Функции,P1,3.2,Отслеживание,Удаление,Удалить из списка,Исчезает из UI,Нет,,,Не начато,,
3 Функции,P1,3.3,Отслеживание,Фон,Перезапуск Chrome / alarm,Цены обновляются,Нет,,,Не начато,,
3 Функции,P2,3.4,Отслеживание,Целевая цена,Установить target price,Уведомление при достижении,Нет,,,Не начато,,
3 Функции,P1,3.5,Отслеживание,График,История цен,Точки на графике,Нет,,,Не начато,,
